Player Name,player_link,Position,Age,nation,matches,goals,assists,Points,Market Value,Market_Value_EUR
Ryder Matos,https://www.transfermarkt.com/ryder-matos/profil/spieler/62713,Second Striker,31,"Brazil, Italy",29,4,2,6,€150k,150000
Joaquín Correa,https://www.transfermarkt.com/joaquin-correa/profil/spieler/227081,Second Striker,29,"Argentina, Italy",22,2,4,6,€3.00m,3000000
Emmanuele Esposito,https://www.transfermarkt.com/emmanuele-esposito/profil/spieler/396955,Second Striker,33,Italy,32,2,4,6,€200k,200000
Christian Capone,https://www.transfermarkt.com/christian-capone/profil/spieler/315856,Second Striker,25,Italy,27,2,4,6,€175k,175000
Toprak Galitekin,https://www.transfermarkt.com/toprak-galitekin/profil/spieler/481608,Second Striker,23,Austria,23,5,0,5,,
Dré Callens,https://www.transfermarkt.com/dre-callens/profil/spieler/1064969,Second Striker,19,Belgium,28,5,0,5,,
Denzel Jubitana,https://www.transfermarkt.com/denzel-jubitana/profil/spieler/502893,Second Striker,25,"Suriname, Belgium",20,4,1,5,€600k,600000
Óscar Plano,https://www.transfermarkt.com/oscar-plano/profil/spieler/221309,Second Striker,33,Spain,30,4,1,5,€500k,500000
Claudio Santini,https://www.transfermarkt.com/claudio-santini/profil/spieler/281872,Second Striker,32,Italy,30,4,1,5,€150k,150000
Ünal Durmuşhan,https://www.transfermarkt.com/unal-durmushan/profil/spieler/604753,Second Striker,20,"Türkiye, Germany",34,4,1,5,€100k,100000
Armindo Sieb,https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033,Second Striker,21,"Germany, Mozambique",29,2,3,5,€3.00m,3000000
Matteo Ferro,https://www.transfermarkt.com/matteo-ferro/profil/spieler/821188,Second Striker,20,Italy,31,2,3,5,€175k,175000
Gevorg Badalyan,https://www.transfermarkt.com/gevorg-badalyan/profil/spieler/139754,Second Striker,33,Armenia,15,3,1,4,,
Diogo Cardoso,https://www.transfermarkt.com/diogo-cardoso/profil/spieler/566982,Second Striker,22,Portugal,11,3,1,4,,
Jean-Calvin Mbanga,https://www.transfermarkt.com/jean-calvin-mbanga/profil/spieler/825731,Second Striker,21,"France, Cameroon",17,3,1,4,,
Giuseppe Panico,https://www.transfermarkt.com/giuseppe-panico/profil/spieler/287648,Second Striker,27,Italy,31,2,2,4,€450k,450000
Antonin Rusek,https://www.transfermarkt.com/antonin-rusek/profil/spieler/318112,Second Striker,25,Czech Republic,10,2,2,4,€250k,250000
Álvaro Gómez,https://www.transfermarkt.com/alvaro-gomez/profil/spieler/398165,Second Striker,27,Spain,30,2,2,4,€200k,200000
Bryan Labissiere,https://www.transfermarkt.com/bryan-labissiere/profil/spieler/272630,Second Striker,27,"Haiti, France",27,2,2,4,,
Dominik Smekal,https://www.transfermarkt.com/dominik-smekal/profil/spieler/293368,Second Striker,26,Czech Republic,36,2,2,4,,
Mattia Florio,https://www.transfermarkt.com/mattia-florio/profil/spieler/704423,Second Striker,20,Italy,28,1,3,4,€125k,125000
Jan Koudelka,https://www.transfermarkt.com/jan-koudelka/profil/spieler/483640,Second Striker,32,Czech Republic,30,1,3,4,€100k,100000
Alessandro Falleni,https://www.transfermarkt.com/alessandro-falleni/profil/spieler/708275,Second Striker,21,Italy,34,1,3,4,€100k,100000
Louey Ben Farhat,https://www.transfermarkt.com/louey-ben-farhat/profil/spieler/1045852,Second Striker,17,"Tunisia, Germany",12,3,0,3,€3.00m,3000000
Flamarion,https://www.transfermarkt.com/flamarion/profil/spieler/465858,Second Striker,27,"Brazil, Georgia",15,3,0,3,€500k,500000
Fabián Matula,https://www.transfermarkt.com/fabian-matula/profil/spieler/666261,Second Striker,23,Czech Republic,33,3,0,3,,
Conor Chaplin,https://www.transfermarkt.com/conor-chaplin/profil/spieler/349503,Second Striker,27,England,23,2,1,3,€6.00m,6000000
Ekain Zenitagoia,https://www.transfermarkt.com/ekain-zenitagoia/profil/spieler/512070,Second Striker,30,Spain,10,2,1,3,€400k,400000
Dmitriy Yakovlev,https://www.transfermarkt.com/dmitriy-yakovlev/profil/spieler/919389,Second Striker,19,Russia,19,2,1,3,€125k,125000
Tyler Roberts,https://www.transfermarkt.com/tyler-roberts/profil/spieler/296986,Second Striker,25,"Wales, England",29,1,2,3,€2.00m,2000000
Lucas Gabriel,https://www.transfermarkt.com/lucas-gabriel/profil/spieler/827991,Second Striker,22,"Brazil, Portugal",13,1,2,3,€200k,200000
Kirill Panchenko,https://www.transfermarkt.com/kirill-panchenko/profil/spieler/106675,Second Striker,34,Russia,13,0,3,3,,
Filippo Distefano,https://www.transfermarkt.com/filippo-distefano/profil/spieler/669915,Second Striker,20,Italy,14,2,0,2,€1.40m,1400000
Raymond Asante,https://www.transfermarkt.com/raymond-asante/profil/spieler/1051609,Second Striker,20,Ghana,14,2,0,2,€200k,200000
Yannic Fötschl,https://www.transfermarkt.com/yannic-fotschl/profil/spieler/805777,Second Striker,21,Austria,14,2,0,2,€125k,125000
